Zh,En
單月化報表Id,MonthlyReportId
類別,Category
繳費週期,PaymentCycle
電號,ElectricityNumber
單位,Unit
成本中心,CostCenter
申請日期,ApplicationDate
關店日期,ClosureDate
年度,Year
一月度數,JanuaryConsumption
一月電費,JanuaryBill
一月用電度數差異,JanuaryConsumptionDiff
一月電費差異,JanuaryBillDiff
二月度數,FebruaryConsumption
二月電費,FebruaryBill
二月用電度數差異,FebruaryConsumptionDiff
二月電費差異,FebruaryBillDiff
三月度數,MarchConsumption
三月電費,MarchBill
三月用電度數差異,MarchConsumptionDiff
三月電費差異,MarchBillDiff
四月度數,AprilConsumption
四月電費,AprilBill
四月用電度數差異,AprilConsumptionDiff
四月電費差異,AprilBillDiff
五月度數,MayConsumption
五月電費,MayBill
五月用電度數差異,MayConsumptionDiff
五月電費差異,MayBillDiff
六月度數,JuneConsumption
六月電費,JuneBill
六月用電度數差異,JuneConsumptionDiff
六月電費差異,JuneBillDiff
七月度數,JulyConsumption
七月電費,JulyBill
七月用電度數差異,JulyConsumptionDiff
七月電費差異,JulyBillDiff
八月度數,AugustConsumption
八月電費,AugustBill
八月用電度數差異,AugustConsumptionDiff
八月電費差異,AugustBillDiff
九月度數,SeptemberConsumption
九月電費,SeptemberBill
九月用電度數差異,SeptemberConsumptionDiff
九月電費差異,SeptemberBillDiff
十月度數,OctoberConsumption
十月電費,OctoberBill
十月用電度數差異,OctoberConsumptionDiff
十月電費差異,OctoberBillDiff
十一月度數,NovemberConsumption
十一月電費,NovemberBill
十一月用電度數差異,NovemberConsumptionDiff
十一月電費差異,NovemberBillDiff
十二月度數,DecemberConsumption
十二月電費,DecemberBill
十二月用電度數差異,DecemberConsumptionDiff
十二月電費差異,DecemberBillDiff
